zipcode,solar_radiation
75784,4.5
75556,4.59
71935,4.39
56122,4.27
94303,5.4
56750,3.84
74075,5.12
81155,6.69
56727,3.86
84644,6.46
96035,6.08
62514,4.15
63829,4.46
70455,4.41
58737,4.13
62972,4.23
75033,5.01
58377,4.03
60668,3.72
72167,4.42
99104,4.76
60465,3.71
76870,5.5
62878,4.21
58341,4.29
90067,5.59
77291,4.15
85606,7.69
55992,3.95
76248,5.16
78232,4.5
14041,error
71324,4.49
57047,4.44
57706,5.26
67660,5.46
64741,4.6
76565,5.41
66080,4.66
63139,4.31
78228,4.71
78404,4.44
57024,4.39
75949,4.41
95038,5.95
53959,3.8
74766,4.51
92650,5.56
91214,6.42
82520,5.57
91948,7.66
72443,4.43
56381,4.16
94977,5.42
80924,6.36
52746,3.91
82059,5.55
56384,4.06
72616,4.56
72170,4.5
53521,3.87
65764,4.44
90095,5.59
96125,6.47
85703,7.62
54313,3.9
60657,3.67
85003,7.35
75220,4.89
65256,4.5
54465,4.05
91980,error
78721,4.69
97001,5.44
72046,4.46
75750,4.57
70360,4.4
79250,6.35
63841,4.35
54859,3.97
60636,3.73
92561,7.78
57644,5.04
93516,8.02
85008,7.35
53717,3.96
92186,5.76
95690,5.69
77904,4.36
95864,5.65
98010,2.94
59755,4.95
79952,7.36
75422,4.83
60541,3.81
93771,5.96
97731,6.01
71833,4.48
61724,4.01
76714,4.78
62461,4.15
94578,5.19
95161,5.83
72821,4.62
92051,5.06
83653,5.81
72624,4.51
54539,3.83
90702,5.45
89599,7.07
56030,4.1
72129,4.44
73167,5.23
75570,4.64
76710,4.78
62879,4.17
89519,6.85
97022,3.36
95976,5.97
78379,4.59
72165,4.45
78944,4.47
59011,5.23
74643,5.18
75181,4.94
57270,4.21
94525,5.19
58121,4.11
76266,5.14
57369,4.87
55598,4.13
98119,3.5
80831,6.43
75379,4.86
87750,7.3
76636,5.08
89048,8.08
80432,6.08
94551,5.78
87017,7.13
69134,5.58
83112,4.95
79003,5.99
75230,4.94
64048,4.58
83834,4.68
64843,4.67
60532,3.75
53288,3.89
88033,7.7
65106,4.5
80207,6.12
92423,6.71
95747,5.68
57268,4.36
61064,3.81
66438,4.82
99022,4.8
71666,4.48
95073,5.72
56280,4.29
80237,6.16
55378,4.09
53588,3.84
92415,6.57
60480,3.71
60606,3.72
89421,6.33
72176,4.46
60195,3.78
84315,5.74
52338,4.0
48150,error
74020,5.02
72933,4.65
74469,4.73
65801,4.39
61018,3.82
55113,4.11
77401,4.07
80435,5.9
61638,3.99
59460,4.95
54344,3.89
71378,4.41
55458,4.09
65103,4.5
67525,5.38
81504,6.38
99687,error
64487,4.44
92376,6.58
63543,4.27
76028,5.19
53217,3.87
60656,3.56
69122,5.62
84306,5.85
74756,4.63
82938,6.13
73434,5.22
99357,5.34
54652,3.93
68017,4.57
56145,4.21
78357,4.9
79201,5.91
73743,5.29
77082,4.12
55005,4.09
70645,4.56
94604,4.95
80912,6.19
62306,4.27
89106,7.62
61532,4.1
68336,4.62
63361,4.45
62860,4.25
97882,5.16
63024,4.36
72717,4.71
82644,5.7
61106,3.8
76431,5.32
97060,3.16
71355,4.42
64132,4.57
68154,4.5
85138,7.63
84336,5.98
58262,4.03
78111,4.57
89013,8.08
82901,6.1
65013,4.46
79713,6.42
53805,3.88
80828,6.25
74030,5.03
70401,4.39
94269,5.64
66733,4.72
90007,5.72
99577,error
66849,4.94
95110,5.79
54903,3.7
70463,4.42
70607,4.38
99725,error
62285,4.38
62351,4.2
80720,5.99
99001,4.84
60095,3.78
84516,6.73
57528,4.97
53925,3.76
57475,4.66
84405,6.06
70097,4.49
53501,3.78
95348,5.84
78504,4.74
87548,7.37
88330,7.37
64755,4.58
71354,4.47
56453,4.09
52313,3.97
60968,3.95
72623,4.46
58386,4.19
99179,4.92
60073,3.77
76804,5.52
84754,6.71
59059,5.0
70575,4.43
54817,3.8
72519,4.42
57720,5.11
56449,4.1
94172,4.05
77872,4.52
67882,5.79
92241,7.72
66771,4.65
85297,7.43
60124,3.73
67004,5.2
93627,6.09
61243,3.91
76206,5.14
84721,7.15
62965,4.21
78374,4.69
99619,error
54742,3.84
64067,4.48
95687,5.72
91412,6.29
85122,7.67
61611,3.99
86004,7.66
85748,7.61
60469,3.74
85940,7.42
68337,4.62
83252,5.69
03827,error
94293,5.64
78017,4.92
68527,4.61
59406,4.85
78873,5.14
98050,2.92
99611,error
66522,4.67
75101,4.84
95954,6.2
79078,6.27
60415,3.72
59416,4.86
61635,3.92
90745,5.43
84604,6.29
64844,4.66
89126,7.62
59833,4.73
72369,4.47
60618,3.72
72436,4.39
71263,4.54
84764,6.96
90069,error
52536,4.24
88048,7.47
