ZIP,Population,Median age
00601,18088,37.1
00602,40859,39
00603,53162,39.2
00606,6415,39.2
00610,28805,39.7
00612,66251,39.3
00616,10466,41.6
00617,24917,36.6
00622,6589,41.6
00623,44117,40.2
00624,24902,34.8
00627,34438,38.4
00631,1847,40.8
00637,24799,38.9
00638,18365,38
00641,30183,39.2
00646,38305,38
00647,5245,46.6
00650,14679,37.3
00652,3831,39.9
00653,13427,36.7
00656,20839,37.2
00659,41830,38.4
00660,17023,43
00662,43101,38.9
00664,16298,34.5
00667,25510,41
00669,28442,38.3
00670,9478,38
00674,43240,38.5
00676,39513,36.9
00677,15012,41.7
00678,27045,38.4
00680,54824,38.9
00682,31908,35.9
00683,33050,41.3
00685,41403,40.5
00687,32484,34.3
00688,13251,40
00690,5906,35
00692,37329,35.6
00693,59513,38
00694,134,64.8
00698,40276,39.9
00703,28739,36
00704,8100,34.2
00705,25090,38.3
00707,11904,40.3
00714,19229,36.2
00715,3714,41.5
00716,31362,38.8
00717,18176,33.2
00718,26786,35.1
00719,30772,36.4
00720,22862,36
00723,18766,40.5
00725,88152,38.1
00727,57036,38.3
00728,42333,35.9
00729,54198,35.9
00730,36201,38.7
00731,14320,41.3
00735,13203,39.3
00736,51116,38.6
00738,33835,38.7
00739,38424,37.2
00740,1704,29.8
00741,5365,40.5
00745,54253,38.1
00751,23020,36.7
00754,40022,38.1
00757,23114,35
00765,9139,42
00766,25549,35.1
00767,36962,38.6
00769,39871,36.6
00771,38435,36.5
00772,21682,36
00773,19731,39.3
00775,1585,37
00777,40863,35.4
00778,46569,36.2
00780,13678,37.8
00782,18595,36.3
00783,35856,35.8
00784,43251,35.9
00786,327,57.2
00791,51757,39.2
00794,30462,33.7
00795,47106,36.4
00901,6428,41.5
00906,43,27.7
00907,17910,47.5
00909,6071,38.2
00911,7425,48.1
00912,6414,38.2
00913,8179,28.2
00915,30642,38
00917,19723,43.9
00918,16553,39.9
00920,18729,44
00921,38499,36.6
00923,27853,37
00924,56236,35.8
00925,7120,32.8
00926,105093,40.6
00927,14764,46.8
00934,188,38.6
00936,877,57.5
00949,80406,37
00950,0,
00951,15,
00952,9338,40.8
00953,73537,35.4
00956,75830,38.4
00957,44639,38
00959,48699,39.5
00960,2037,33.3
00961,31774,41.5
00962,21204,34.8
00965,8978,36.5
00966,15785,41.9
00968,3594,57.5
00969,42316,40.2
00971,30349,40.9
00976,61862,37.2
00979,16157,46.9
00982,15132,42.2
00983,40273,38.3
00985,35236,40.4
00987,60544,36.3
01001,17141,44.3
01002,29844,23
01003,11062,20
01005,5113,42.7
01007,14774,41.8
01008,1212,47.8
01009,546,46.4
01010,3667,46
01011,1478,41.8
01012,499,51.2
01013,22299,35.8
01020,30593,43
01022,2711,41.2
01026,1009,49.2
01027,17652,45.1
01028,15917,45.6
01029,701,48.4
01030,11485,44.2
01031,1389,37.9
01032,585,47.9
01033,6214,44.1
01034,2061,47.1
01035,5285,45.6
01036,5141,48.9
01037,721,53.2
01038,2837,49
01039,1354,51.5
01040,40079,35.6
01050,2512,42.5
01053,1847,49.9
01054,1836,50.8
01056,21288,44.8
01057,8645,46.8
01060,15348,34.4
01062,10830,44.6
01063,612,20.5
01066,10,
01068,1791,44.4
01069,8982,41.9
01070,580,50.9
01071,1361,46.9
01072,1482,44.9
01073,5958,44.3
01074,301,33.8
01075,17832,41
01077,9599,43.9
01079,542,43.5
01080,2176,39.5
01081,1807,44.7
01082,10394,43
01083,3108,37.9
01084,211,59.1
01085,41121,38.4
01086,1038,19.2
01088,446,59.9
01089,28554,39.6
01092,1078,30.9
01093,282,53.3
01094,310,54
01095,14436,48.1
01096,2522,44.3
01097,36,43.5
01098,1095,53.4
01103,2472,33.5
01104,22285,36.1
01105,12054,29.1
01106,16077,46.4
01107,11706,29.5
01108,26670,31.6
01109,30987,25.4
01118,14192,39
01119,13942,35.2
01128,2568,47.7
01129,7160,40.2
01151,9581,28.2
01199,0,
01201,45557,43.5
01220,8536,43.9
01222,811,41.8
01223,2336,52.5
01224,242,46.9
01225,3057,46.5
01226,6944,47
01229,131,39.7
01230,8148,46.9
01235,2904,46.5
01236,1574,43.7
01237,2735,38
01238,6245,45.9
01240,4823,56.4
01242,192,56.5
01243,383,56.5
01244,149,60
01245,807,54.4
01247,15859,43.1
01253,683,49.1
01254,1043,56.9
01255,896,48.1
01256,703,46.4
01257,2140,52.4
01258,334,62.5
01259,540,54.1
01260,246,46.8
01262,1337,52.1
01264,156,66.4
01266,1491,51.9
01267,7906,35.1
01270,766,49.1
01301,17731,42.9
01330,1596,47.1
01331,13264,42.9
01337,2576,50.3
01338,209,51.2
01339,1514,49.8
01340,1686,46.3
01341,1583,51
01342,1577,41.9
01343,72,58.5
01344,1557,39.7
01346,466,53.5
01347,128,38.4
01349,888,53.8
01350,118,45
01351,2167,46.7
01354,1573,47.8
01355,981,48
01360,3031,45.2
01364,7932,42.2
01366,1355,48.2
01367,569,48.1
01368,1230,44.6
01370,4143,48.4
01373,4406,46.6
01375,3683,26.7
01376,5511,40.6
01378,690,55.4
01379,873,51.7
01420,40419,33.9
01430,6133,43.6
01431,3147,45.8
01432,7337,39.1
01434,1656,41
01436,3931,41.9
01438,464,60.3
01440,20293,40
01450,10997,44.3
01451,4841,46.7
01452,4452,43.6
01453,40978,41.4
01460,9157,43.6
01462,10797,44.5
01463,11782,42.3
01464,7404,40.3
01467,440,41
01468,3682,44.7
01469,7328,38.6
01473,7361,44.8
01474,1855,46.4
01475,10466,44.5
01501,16136,44.9
01503,2917,45.8
01504,9055,42.8
01505,4399,44.1
01506,3396,43.4
01507,13126,42.2
01510,13675,41.1
01515,2263,43.5
01516,8624,40
01518,2418,49.8
01519,6573,40.4
01520,14724,41.5
01521,2491,43.9
01522,3038,42.9
01523,7847,37.1
01524,7103,40.9
01525,152,49.3
01527,13350,43
01529,3208,41.2
01531,1109,42.5
01532,14644,42.6
01534,6303,38.9
01535,4715,41.5
01536,7138,41.9
01537,2392,36.5
01540,11219,41.6
01541,3432,45
01542,1747,47.2
01543,8188,40.8
01545,35818,39.8
01550,16775,38.8
01560,4565,34.8
01561,155,25.1
01562,11746,41.3
01564,7870,45.2
01566,6945,41.4
01568,7453,42.2
01569,13703,40.9
01570,16806,41.5
01571,11633,35.9
01581,18481,42
01583,7687,37.9
01585,4705,44.9
01588,9569,39.7
01590,9014,43.7
01602,24228,38.5
01603,20380,34.9
01604,34628,35.4
01605,27387,32.2
01606,19043,39.6
01607,8991,33.6
01608,3351,28.7
01609,20948,28.1
01610,23885,27.4
01611,2458,39
01612,4879,38.5
01701,31780,43.4
01702,38180,33.5
01718,303,38.8
01719,5102,42.6
01720,22197,41.9
01721,16985,41.6
01730,13709,43.5
01731,1893,20.6
01740,5019,42.7
01741,4967,48.5
01742,18948,46.7
01745,309,50.4
01746,14008,42.6
01747,5934,41.5
01748,15604,40.3
01749,19464,43
01752,39141,40
01754,10314,42.7
01756,5895,43.6
01757,28391,38.7
01760,34043,41.7
01770,4200,46
01772,9560,42
01773,5367,49.1
01775,6841,43.5
01776,18197,43.7
01778,13421,46.6
01801,39315,40
01803,25190,41.8
01810,34251,41.5
01821,31157,40.7
01824,25582,44.5
01826,30315,40
01827,3299,45.3
01830,26415,38.8
01832,22137,38.4
01833,8379,41.7
01834,6805,45.6
01835,13217,37.7
01840,4799,35.4
01841,47125,30.5
01843,25440,30.7
01844,48159,39.3
01845,28963,41.2
01850,16198,32
01851,30379,33.5
01852,32735,35.2
01854,29214,30.7
01860,6536,44.4
01862,10904,41.1
01863,8913,44.2
01864,15249,43.2
01867,24687,41.9
01876,29103,44
01879,11867,41
01880,25460,42.2
01886,22854,42.5
01887,22907,41.9
01890,21863,43.1
01901,1807,42.3
01902,46119,31.7
01904,18053,39.6
01905,25269,32.5
01906,27369,44.8
01907,14123,44.7
01908,3451,49.5
01913,16554,42.2
01915,40370,40.4
01921,8105,44.7
01922,2649,46.2
01923,26963,44.5
01929,3580,46.6
01930,29237,47.2
01937,112,52.3
01938,13480,48.4
01940,12704,45.4
01944,5247,48.4
01945,20163,46.5
01949,9273,40.6
01950,17662,46.1
01951,4145,47.7
01952,8495,45.2
01960,51597,44.9
01966,7078,51.8
01969,5995,45.1
01970,42151,36.9
01982,8098,40.2
01983,6286,45.6
01984,5039,24.6
01985,4370,44
02019,16564,41.6
02021,22036,42.5
02025,8100,43.2
02026,25111,43.1
02030,5727,44.5
02032,4103,43.2
02035,17129,41.9
02038,32393,38.6
02043,22550,43.8
02045,10324,50
02047,125,89.4
02048,23389,38.3
02050,25543,43.3
02052,12236,43
02053,12965,41.7
02054,8007,42.3
02056,11407,42.6
02061,10651,44.2
02062,28844,40.6
02066,18002,45.4
02067,17703,43.5
02071,1911,38.5
02072,27833,43.2
02081,18855,43.7
02090,14809,45.1
02093,11169,44.2
02108,4049,34.8
02109,3993,34.3
02110,1906,55.4
02111,7505,34.6
02113,7360,29.6
02114,12801,30.8
02115,29465,21.9
02116,22229,33.1
02118,27534,34.1
02119,25734,34.1
02120,15073,23.3
02121,27459,30.7
02122,25613,33.8
02124,51544,34.7
02125,33937,31.1
02126,28279,37.8
02127,34732,30.6
02128,44512,33.3
02129,17954,34
02130,38214,34.2
02131,31733,37.7
02132,28791,41.9
02134,18277,26.6
02135,36486,29.3
02136,30207,36.5
02138,36937,28.3
02139,35783,29.7
02140,17894,35.9
02141,13344,31.3
02142,3030,29.9
02143,25915,31.6
02144,24539,30.8
02145,24807,34
02148,60293,35.7
02149,42717,35.6
02150,37074,31.5
02151,53268,38.5
02152,17992,42.7
02155,59193,34.9
02163,2208,25.3
02169,55408,37.9
02170,19318,38.6
02171,18194,39.3
02176,27509,41.4
02180,21611,45
02184,36543,40.7
02186,27204,38.1
02188,14642,41.7
02189,15128,40.8
02190,16667,42
02191,8378,45.1
02199,1359,52.5
02203,0,
02210,1984,35.8
02215,24046,21.5
02301,59275,36.1
02302,34992,35.6
02322,4421,43.9
02324,26931,35.7
02330,11541,44.3
02332,15208,45.4
02333,13996,43
02338,7629,44
02339,14120,40.8
02341,10316,42
02343,10795,45.4
02346,23541,41.6
02347,10933,43.8
02351,16081,39.5
02356,12923,38.6
02357,938,19.9
02359,18006,40.5
02360,57275,43.8
02364,12846,43.8
02366,139,34.3
02367,2840,45.3
02368,33265,40.9
02370,17616,40.6
02375,9687,40.9
02379,6981,42.4
02382,14643,38.4
02420,13947,46.7
02421,18359,44.1
02445,20723,35.8
02446,28796,33.6
02451,17454,37.7
02452,15495,30.5
02453,28959,32.5
02457,1334,20.2
02458,12093,41
02459,18519,42.1
02460,9591,41.1
02461,7099,43.5
02462,1306,56.7
02464,2868,38.3
02465,11499,44.3
02466,8973,34.6
02467,23724,23.4
02468,5374,47.5
02472,32943,38.5
02474,27113,40.2
02476,16615,44
02478,25110,40.7
02481,16320,36.1
02482,11204,41.8
02492,20163,42.7
02493,11704,43.2
02494,9377,43.4
02532,11857,47.4
02534,988,53
02535,1268,46.3
02536,19060,48.5
02537,6301,46.3
02538,3294,39.2
02539,4186,49.2
02540,8710,55.6
02542,1069,22.3
02543,806,47.5
02553,191,54.2
02554,10154,40
02556,3021,55.8
02557,4599,46.4
02558,1538,47.7
02559,4174,55.1
02561,496,49.5
02562,3128,48.3
02563,9972,47.7
02564,249,36.3
02568,4036,39.7
02571,10490,45.8
02575,2727,44.6
02576,5032,42.5
02584,11,
02601,14252,42.5
02630,2265,51.5
02631,9736,54.5
02632,11294,48.5
02633,3846,56.6
02635,3282,52.3
02637,53,46.6
02638,3557,58.6
02639,2698,50.5
02641,222,74.2
02642,4903,56.6
02643,18,
02644,4256,34.7
02645,9668,48.7
02646,1782,61.2
02647,108,66.3
02648,6454,48.9
02649,13988,50.5
02650,1190,64.7
02651,29,
02652,995,55.6
02653,5978,61.8
02655,3616,55.4
02657,2959,54.3
02659,806,59.3
02660,6393,52.4
02663,83,54.1
02664,9342,52.7
02666,743,63.2
02667,2928,62.4
02668,2708,47.6
02669,287,57.1
02670,1243,64.1
02671,755,58.6
02672,137,19.9
02673,8574,47.2
02675,6345,59.5
02702,4651,40.5
02703,43774,39.7
02713,78,60.3
02715,3344,38.4
02717,4306,43.8
02718,6529,42.1
02719,15971,46.4
02720,31091,39.4
02721,25557,37.3
02723,14403,38.3
02724,16882,40.1
02725,2629,52.5
02726,15633,44.2
02738,4935,48.7
02739,6138,45.7
02740,43513,38
02743,10339,43.8
02744,11589,35.4
02745,24641,41.4
02746,14755,32.5
02747,22790,34.4
02748,12160,49.1
02760,27177,38.3
02762,8581,41.1
02763,1602,42.3
02764,3837,41.6
02766,19280,39.5
02767,13588,41.3
02769,11742,43.7
02770,5163,42.8
02771,14131,44.4
02777,15997,45.3
02779,6492,40.3
02780,49456,40.7
02790,16142,46.2
02791,127,65.6
02802,998,29.9
02804,2413,48.9
02806,16290,45.4
02807,893,55.1
02808,2312,37
02809,22493,42.8
02812,1947,36.4
02813,7788,46.3
