"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-08-31,61639,"10025","NY","New York","New York","New York",0,1318000,0.0165047046120623,0.105148415227235,0.18259309107223,0.109820949890606,0.0588922332945852,"2017-08","2017-Q3",1318000,0,"2017-08"
2017-08-31,84654,"60657","IL","Chicago","Cook","Chicago",1,328100,-0.000304692260816575,0.00152625152625153,0.0301412872841444,0.0438008589993888,0.00125828339257628,"2017-06","2017-Q2",328600,-0.00152160681679854,"2017-06"
2017-08-31,84616,"60614","IL","Chicago","Cook","Chicago",2,412900,-0.00769045902427301,0.0179980276134122,0.0304467182430746,0.051904403031436,0.0037073267439609,"2017-02","2017-Q1",418000,-0.012200956937799,"2016-11"
2017-08-31,93144,"79936","TX","El Paso","El Paso","El Paso",3,114200,0,-0.00522648083623693,0.00439753737906772,-0.00226128598000008,-0.0136308496371642,"2007-12","2007-Q4",131100,-0.128909229595728,"2006-08"
2017-08-31,84640,"60640","IL","Chicago","Cook","Chicago",4,211200,0.012464046021093,0.0257406508013599,0.057586379569354,0.0467072687337491,-0.010663280181197,"2007-02","2007-Q1",237800,-0.111858704793944,"2003-09"
2017-08-31,91733,"77084","TX","Houston","Harris","Houston",5,160900,0.00941028858218319,0.0261479591836735,-0.00124146492861577,0.0829950153479868,0.0224222985460663,"2016-08","2016-Q3",161100,-0.00124146492861577,"2016-08"
2017-08-31,97564,"94109","CA","San Francisco","San Francisco","San Francisco",6,1147000,-0.0045994966588562,-0.00364836692147325,0.0438660356752821,0.0883903841874849,0.0338148141181414,"2017-06","2017-Q2",1155100,-0.00701237988052982,"2017-05"
2017-08-31,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",7,315400,0.000952078705172961,0.00381922342457034,0.0605245460659045,0.0970343734837276,0.0435168036563005,"2017-08","2017-Q3",315400,0,"2017-08"
2017-08-31,62037,"11226","NY","New York","Kings","New York",8,647900,-0.00169491525423729,-0.00430305824496696,0.127567003132614,0.115983132624454,0.0415567139970128,"2017-06","2017-Q2",652200,-0.00659306961054891,"2017-05"
2017-08-31,91940,"77449","TX","Houston","Harris","Cypress",9,163100,0.00803461063040791,0.0225705329153605,0.019375,0.089187043745073,0.0205342640207085,"2017-08","2017-Q3",163100,0,"2017-08"
2017-08-31,61630,"10016","NY","New York","New York","New York",10,1136000,0.019657122340903,0.118000196831021,0.259144313899357,0.104600411040255,0.0496701643328046,"2017-08","2017-Q3",1136000,0,"2017-08"
2017-08-31,71831,"32162","FL","The Villages","Sumter","The Villages",11,247500,0.000808734330772341,-0.00080742834073476,0.00405679513184584,0.0423957368194705,0.00122027123519297,"2007-01","2007-Q1",253800,-0.024822695035461,"2006-09"
2017-08-31,62045,"11235","NY","New York","Kings","New York",12,554700,0.0144476956839795,0.0908554572271386,0.18728595890411,0.0723384142658687,0.0316994837598912,"2017-08","2017-Q3",554700,0,"2017-08"
2017-08-31,84646,"60647","IL","Chicago","Cook","Chicago",13,335400,0.000596658711217184,0.00479328939484721,0.0743113388853299,0.0829263829843223,0.00964584044951966,"2017-08","2017-Q3",335400,0,"2017-08"
2017-08-31,74242,"37211","TN","Nashville","Davidson","Nashville",14,229000,0.00659340659340659,0.0186832740213523,0.132542037586548,0.10967415567091,0.0433556372872959,"2017-08","2017-Q3",229000,0,"2017-08"
