region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
NULL,NULL,32.6519117,32.5422575,-115.6679976,-117.0300775,32.574314375,-116.634551075,1300.3583333333331,2,75,66.666666666666671,13,18,0,0,0,13,31,3.25,7.75,4745.5593383789064,7692.0783203124993,0,0,0,5209.4646850585932,12437.637658691405,"[[0,2]]",0,0
Alabama,Alabama,34.9917683,30.187614,-84.9570645,-88.412099,32.940783600646377,-86.8506989597601,1083.96166817494,700683,74.381422821206641,78.4554197360421,3953535,11546085,7843143,9234342,26420427,39,58997532,9.75,14749383,1128360422.4046311,3874097231.4774818,2420185384.5104733,2801915760.8112464,8736817466.31873,12069.32265625,18961376265.52261,"[[0,137667],[5,221548],[10,148580],[15,74864],[20,34232],[25,16748],[30,9596],[35,6640],[40,5133],[45,4225],[50,3558],[55,3093],[60,2573],[65,2255],[70,2020],[75,1769],[80,1583],[85,1513],[90,1327],[95,1186],[100,1114],[105,1027],[110,845],[115,833],[120,812],[125,732],[130,664],[135,574],[140,511],[145,578],[150,507],[155,491],[160,396],[165,357],[170,338],[175,341],[180,364],[185,300],[190,250],[195,268],[200,252],[205,248],[210,243],[215,220],[220,213],[225,180],[230,182],[235,213],[240,177],[245,176],[250,151],[255,183],[260,162],[265,139],[270,137],[275,134],[280,134],[285,126],[290,99],[295,95],[300,105],[305,109],[310,102],[315,103],[320,82],[325,111],[330,107],[335,78],[340,79],[345,93],[350,79],[355,78],[360,69],[365,69],[370,73],[375,62],[380,68],[385,57],[390,51],[395,61],[400,51],[405,65],[410,53],[415,48],[420,57],[425,48],[430,41],[435,39],[440,46],[445,44],[450,45],[455,37],[460,38],[465,50],[470,42],[475,39],[480,51],[485,35],[490,37],[495,40],[500,40],[505,41],[510,35],[515,22],[520,37],[525,43],[530,34],[535,26],[540,25],[545,38],[550,37],[555,34],[560,22],[565,27],[570,35],[575,29],[580,32],[585,24],[590,21],[595,29],[600,18],[605,25],[610,30],[615,27],[620,24],[625,25],[630,28],[635,19],[640,14],[645,24],[650,19],[655,26],[660,14],[665,23],[670,8],[675,16],[680,13],[685,25],[690,16],[695,23],[700,18],[705,22],[710,24],[715,21],[720,19],[725,21],[730,13],[735,15],[740,14],[745,17],[750,14],[755,22],[760,16],[765,23],[770,20],[775,18],[780,17],[785,14],[790,16],[795,16],[800,12],[805,9],[810,21],[815,21],[820,9],[825,16],[830,15],[835,16],[840,11],[845,18],[850,10],[855,15],[860,12],[865,17],[870,11],[875,22],[880,14],[885,16],[890,12],[895,10],[900,20],[905,14],[910,7],[915,12],[920,14],[925,10],[930,8],[935,16],[940,9],[945,16],[950,12],[955,13],[960,11],[965,9],[970,11],[975,12],[980,12],[985,12],[990,51],[995,846],[1000,354]]",12022951.762135033,549
Alaska,Alaska,71.3351305,51.8516355,-131.5201398,-176.6574075,61.374115940957751,-148.50805841426416,799.53498379698135,27583,50.685735740860842,37.150322571955769,11299,485483,211340,214246,1256756,29,2179124,7.25,544781,2186594.1601593005,111933186.61455385,44907191.13352032,44919083.968441769,262546608.28888816,6540.6126220703127,466492664.16556281,"[[0,7503],[5,10425],[10,4409],[15,1538],[20,843],[25,442],[30,289],[35,198],[40,187],[45,141],[50,117],[55,94],[60,98],[65,73],[70,69],[75,65],[80,67],[85,48],[90,45],[95,51],[100,30],[105,38],[110,31],[115,25],[120,32],[125,39],[130,34],[135,26],[140,15],[145,23],[150,22],[155,15],[160,11],[165,18],[170,19],[175,13],[180,8],[185,10],[190,11],[195,12],[200,9],[205,13],[210,18],[215,10],[220,7],[225,8],[230,3],[235,8],[240,4],[245,10],[250,6],[255,12],[260,4],[265,6],[270,7],[275,11],[280,6],[285,5],[290,8],[295,4],[300,10],[305,3],[310,6],[315,3],[320,9],[325,4],[330,5],[335,7],[340,4],[345,5],[350,4],[355,3],[360,6],[365,2],[370,2],[375,2],[380,2],[385,3],[390,2],[395,10],[400,2],[405,3],[410,2],[415,2],[420,2],[425,5],[430,5],[435,1],[440,1],[445,1],[450,1],[455,2],[460,3],[465,4],[470,4],[475,1],[480,4],[485,3],[490,3],[500,2],[505,2],[510,3],[515,2],[520,2],[525,2],[530,2],[540,3],[550,3],[555,1],[560,1],[565,1],[570,2],[590,1],[595,2],[600,2],[610,1],[615,1],[620,2],[625,1],[630,1],[635,2],[640,1],[650,1],[655,1],[660,1],[665,2],[670,1],[675,1],[685,1],[700,2],[705,3],[715,1],[730,1],[740,2],[755,1],[760,2],[765,2],[775,5],[780,1],[795,1],[800,1],[805,2],[810,2],[815,1],[835,1],[845,2],[865,1],[875,1],[885,1],[895,1],[900,1],[905,1],[920,1],[930,1],[935,1],[940,1],[960,1],[970,1],[990,3],[995,25],[1000,11]]",192197.46506575504,83
Arizona,Arizona,36.9999013,31.3329263,-109.0454245,-114.7914512,33.345498467195775,-111.89487570042124,1378.2217355809389,1638999,82.343259084285265,91.615986244737243,4989235,24748479,15838985,21937855,47183254,47,114697808,11.75,28674452,1780582587.0070598,10851837621.076178,6054636896.8762531,8640895624.7430744,19065335523.978,18974.796636962888,46393288253.680939,"[[0,199346],[5,449953],[10,417070],[15,259587],[20,135537],[25,65222],[30,31862],[35,17205],[40,10577],[45,7245],[50,5305],[55,4093],[60,3233],[65,2645],[70,2123],[75,1829],[80,1559],[85,1417],[90,1210],[95,1129],[100,1045],[105,949],[110,851],[115,764],[120,700],[125,669],[130,653],[135,582],[140,562],[145,550],[150,495],[155,467],[160,449],[165,371],[170,371],[175,354],[180,278],[185,308],[190,299],[195,296],[200,245],[205,248],[210,249],[215,234],[220,220],[225,235],[230,215],[235,169],[240,194],[245,189],[250,187],[255,163],[260,145],[265,150],[270,165],[275,133],[280,137],[285,109],[290,123],[295,106],[300,120],[305,113],[310,97],[315,107],[320,101],[325,101],[330,76],[335,91],[340,104],[345,97],[350,84],[355,89],[360,95],[365,69],[370,77],[375,80],[380,65],[385,75],[390,75],[395,69],[400,69],[405,65],[410,73],[415,56],[420,49],[425,66],[430,50],[435,56],[440,45],[445,58],[450,56],[455,42],[460,50],[465,47],[470,48],[475,37],[480,43],[485,42],[490,37],[495,57],[500,40],[505,45],[510,43],[515,36],[520,34],[525,37],[530,43],[535,33],[540,40],[545,42],[550,35],[555,33],[560,37],[565,35],[570,41],[575,29],[580,39],[585,33],[590,24],[595,26],[600,29],[605,21],[610,28],[615,29],[620,29],[625,20],[630,25],[635,33],[640,31],[645,30],[650,30],[655,22],[660,21],[665,21],[670,24],[675,30],[680,29],[685,21],[690,25],[695,20],[700,23],[705,19],[710,24],[715,25],[720,19],[725,12],[730,17],[735,23],[740,16],[745,17],[750,13],[755,8],[760,15],[765,16],[770,14],[775,19],[780,12],[785,20],[790,18],[795,21],[800,16],[805,13],[810,12],[815,14],[820,12],[825,19],[830,20],[835,20],[840,21],[845,16],[850,18],[855,11],[860,15],[865,14],[870,20],[875,13],[880,13],[885,10],[890,15],[895,16],[900,11],[905,13],[910,15],[915,14],[920,12],[925,10],[930,10],[935,10],[940,10],[945,20],[950,14],[955,5],[960,16],[965,12],[970,18],[975,8],[980,11],[985,15],[990,75],[995,802],[1000,387]]",19913839.640013549,39553
Arkansas,Arkansas,36.4991692,33.0146107,-89.7305865,-94.6165692,35.097736111870631,-92.652403322717433,1074.6895110592043,322235,63.187434517679115,75.680036450235562,1624551,5384563,3402749,4316886,13401447,39,28130196,9.75,7032549,455410025.9693256,1799873766.1931627,1020895159.9476899,1308459426.6090868,4356970848.1877985,12099.947973632812,8941609226.9070358,"[[0,62028],[5,98712],[10,69090],[15,34138],[20,16160],[25,8272],[30,4964],[35,3624],[40,2736],[45,2331],[50,1874],[55,1628],[60,1223],[65,1121],[70,993],[75,878],[80,748],[85,688],[90,628],[95,572],[100,475],[105,454],[110,442],[115,411],[120,319],[125,298],[130,360],[135,286],[140,238],[145,239],[150,215],[155,227],[160,222],[165,194],[170,185],[175,190],[180,162],[185,146],[190,138],[195,132],[200,129],[205,119],[210,99],[215,107],[220,101],[225,114],[230,89],[235,90],[240,81],[245,74],[250,73],[255,67],[260,80],[265,73],[270,77],[275,75],[280,54],[285,52],[290,62],[295,48],[300,58],[305,55],[310,39],[315,54],[320,47],[325,44],[330,49],[335,43],[340,34],[345,35],[350,40],[355,31],[360,38],[365,38],[370,43],[375,42],[380,28],[385,38],[390,46],[395,28],[400,30],[405,25],[410,20],[415,24],[420,43],[425,38],[430,23],[435,30],[440,29],[445,27],[450,30],[455,24],[460,25],[465,32],[470,19],[475,19],[480,17],[485,19],[490,26],[495,15],[500,16],[505,23],[510,20],[515,17],[520,15],[525,12],[530,18],[535,18],[540,12],[545,14],[550,18],[555,11],[560,21],[565,27],[570,13],[575,11],[580,21],[585,11],[590,12],[595,9],[600,18],[605,11],[610,10],[615,16],[620,8],[625,18],[630,9],[635,9],[640,12],[645,8],[650,9],[655,10],[660,14],[665,8],[670,11],[675,8],[680,10],[685,4],[690,11],[695,11],[700,9],[705,11],[710,10],[715,10],[720,9],[725,11],[730,9],[735,11],[740,7],[745,7],[750,7],[755,4],[760,5],[765,8],[770,9],[775,4],[780,11],[785,9],[790,2],[795,8],[800,8],[805,6],[810,6],[815,15],[820,10],[825,2],[830,5],[835,8],[840,6],[845,4],[850,4],[855,9],[860,4],[865,3],[870,2],[875,4],[880,4],[885,6],[890,3],[895,4],[900,5],[905,8],[910,1],[915,3],[920,1],[925,5],[930,7],[935,3],[940,5],[950,5],[955,3],[960,5],[965,2],[970,5],[975,6],[980,4],[985,3],[990,31],[995,415],[1000,160]]",5619080.8937808247,238
California,California,41.9979735,32.5399815,-114.1330897,-124.3502286,35.584029179656568,-119.43340506258077,1276.8131414743268,7841387,87.964252271170793,87.05187040713308,36861554,107828275,72399879,92215390,221717559,39,531022657,9.75,132755664.25,12152001803.67045,42952101283.634689,25855609122.833725,33490042984.873936,83566593895.14328,14460.077978515625,198016349090.15594,"[[0,1484911],[5,2508881],[10,1773721],[15,925808],[20,415778],[25,195461],[30,105504],[35,66230],[40,46716],[45,35074],[50,27689],[55,22627],[60,18555],[65,15873],[70,13745],[75,12066],[80,10401],[85,9385],[90,8744],[95,7839],[100,7099],[105,6467],[110,6141],[115,5575],[120,5274],[125,4707],[130,4323],[135,4039],[140,3713],[145,3503],[150,3355],[155,3124],[160,3046],[165,2689],[170,2596],[175,2521],[180,2399],[185,2172],[190,2090],[195,2013],[200,1910],[205,1783],[210,1631],[215,1591],[220,1502],[225,1485],[230,1420],[235,1306],[240,1284],[245,1273],[250,1191],[255,1094],[260,1047],[265,1033],[270,977],[275,911],[280,896],[285,852],[290,798],[295,766],[300,752],[305,671],[310,705],[315,689],[320,622],[325,621],[330,615],[335,549],[340,525],[345,570],[350,518],[355,509],[360,516],[365,482],[370,458],[375,463],[380,439],[385,469],[390,431],[395,405],[400,377],[405,365],[410,364],[415,357],[420,362],[425,343],[430,343],[435,331],[440,318],[445,291],[450,306],[455,298],[460,278],[465,255],[470,276],[475,278],[480,269],[485,231],[490,247],[495,245],[500,205],[505,236],[510,226],[515,213],[520,209],[525,217],[530,170],[535,206],[540,192],[545,180],[550,167],[555,193],[560,171],[565,177],[570,173],[575,148],[580,147],[585,151],[590,144],[595,139],[600,161],[605,156],[610,154],[615,138],[620,151],[625,139],[630,127],[635,126],[640,131],[645,134],[650,120],[655,124],[660,113],[665,125],[670,99],[675,104],[680,115],[685,116],[690,124],[695,100],[700,98],[705,106],[710,102],[715,119],[720,97],[725,104],[730,82],[735,101],[740,91],[745,101],[750,111],[755,97],[760,79],[765,90],[770,85],[775,70],[780,85],[785,68],[790,70],[795,78],[800,90],[805,84],[810,87],[815,88],[820,99],[825,76],[830,62],[835,66],[840,77],[845,72],[850,83],[855,75],[860,61],[865,74],[870,61],[875,52],[880,53],[885,72],[890,66],[895,74],[900,55],[905,56],[910,52],[915,61],[920,59],[925,59],[930,61],[935,48],[940,54],[945,69],[950,53],[955,41],[960,50],[965,55],[970,45],[975,46],[980,70],[985,62],[990,386],[995,4885],[1000,2272]]",54495607.012970835,328899
Colorado,Colorado,41.0022748,37.0054753,-102.1123387,-109.0153213,39.528333598053379,-105.22290894597521,1246.3680325837502,927359,73.601478876459822,78.928536472230377,491589,12795273,7872722,8529952,25485217,27,55174753,6.75,13793688.25,153949618.86398539,4918588267.48371,2732604024.63214,2874647857.321178,9027789217.7594242,9690.1900878906254,19707578986.060062,"[[0,289523],[5,362194],[10,139371],[15,51537],[20,22303],[25,11866],[30,7522],[35,5300],[40,3955],[45,3190],[50,2440],[55,2132],[60,1876],[65,1599],[70,1387],[75,1181],[80,1022],[85,882],[90,834],[95,775],[100,732],[105,647],[110,613],[115,598],[120,555],[125,538],[130,453],[135,476],[140,415],[145,415],[150,348],[155,350],[160,304],[165,286],[170,298],[175,257],[180,281],[185,242],[190,231],[195,225],[200,208],[205,213],[210,193],[215,198],[220,191],[225,159],[230,172],[235,159],[240,166],[245,153],[250,155],[255,133],[260,137],[265,128],[270,138],[275,118],[280,101],[285,119],[290,100],[295,107],[300,103],[305,85],[310,87],[315,98],[320,106],[325,87],[330,86],[335,77],[340,81],[345,86],[350,63],[355,94],[360,88],[365,66],[370,70],[375,76],[380,55],[385,65],[390,74],[395,61],[400,60],[405,62],[410,57],[415,57],[420,52],[425,50],[430,68],[435,55],[440,43],[445,38],[450,43],[455,31],[460,35],[465,40],[470,43],[475,44],[480,42],[485,36],[490,36],[495,46],[500,41],[505,22],[510,42],[515,36],[520,32],[525,40],[530,32],[535,27],[540,37],[545,38],[550,23],[555,32],[560,30],[565,33],[570,33],[575,24],[580,24],[585,36],[590,25],[595,35],[600,25],[605,35],[610,27],[615,27],[620,23],[625,13],[630,30],[635,16],[640,16],[645,23],[650,15],[655,23],[660,17],[665,18],[670,21],[675,18],[680,10],[685,17],[690,16],[695,23],[700,27],[705,27],[710,20],[715,15],[720,17],[725,23],[730,12],[735,18],[740,20],[745,15],[750,22],[755,8],[760,20],[765,11],[770,23],[775,19],[780,15],[785,18],[790,13],[795,16],[800,12],[805,7],[810,15],[815,21],[820,13],[825,13],[830,11],[835,20],[840,13],[845,13],[850,10],[855,10],[860,8],[865,8],[870,8],[875,11],[880,19],[885,16],[890,10],[895,9],[900,13],[905,11],[910,9],[915,13],[920,11],[925,13],[930,9],[935,13],[940,6],[945,13],[950,10],[955,5],[960,13],[965,12],[970,10],[975,10],[980,17],[985,14],[990,51],[995,631],[1000,330]]",11999624.605826404,24140
Connecticut,Connecticut,42.0475838,40.9878111,-71.7881381,-73.7239268,41.500003935470346,-72.929716833496329,994.92461117704158,494902,70.8420524903638,66.966882040526372,613009,6405619,4348728,4288660,15594874,25,31250890,6.25,7812722.5,156561094.26393396,1927662529.7225833,1197999177.4758837,1167716729.013202,4557093274.8735218,7091.3831542968746,9007032805.3491478,"[[0,179672],[5,187313],[10,63081],[15,20971],[20,8832],[25,4848],[30,3427],[35,2577],[40,2182],[45,1804],[50,1518],[55,1320],[60,1091],[65,984],[70,860],[75,698],[80,642],[85,600],[90,566],[95,538],[100,468],[105,456],[110,431],[115,389],[120,367],[125,335],[130,281],[135,276],[140,281],[145,248],[150,209],[155,252],[160,167],[165,212],[170,199],[175,184],[180,168],[185,168],[190,168],[195,156],[200,164],[205,145],[210,135],[215,109],[220,128],[225,115],[230,113],[235,103],[240,103],[245,105],[250,97],[255,86],[260,81],[265,78],[270,91],[275,79],[280,84],[285,83],[290,72],[295,84],[300,69],[305,81],[310,63],[315,62],[320,73],[325,60],[330,54],[335,56],[340,66],[345,59],[350,50],[355,51],[360,47],[365,49],[370,51],[375,36],[380,53],[385,36],[390,39],[395,31],[400,42],[405,35],[410,40],[415,34],[420,32],[425,41],[430,40],[435,28],[440,28],[445,29],[450,30],[455,39],[460,18],[465,27],[470,27],[475,26],[480,20],[485,32],[490,30],[495,26],[500,30],[505,25],[510,24],[515,32],[520,25],[525,29],[530,24],[535,24],[540,31],[545,24],[550,25],[555,17],[560,19],[565,16],[570,25],[575,20],[580,12],[585,15],[590,20],[595,17],[600,17],[605,17],[610,11],[615,14],[620,18],[625,23],[630,20],[635,16],[640,21],[645,17],[650,17],[655,20],[660,11],[665,13],[670,15],[675,19],[680,26],[685,16],[690,15],[695,17],[700,11],[705,16],[710,14],[715,17],[720,16],[725,14],[730,14],[735,10],[740,14],[745,9],[750,11],[755,12],[760,8],[765,13],[770,5],[775,9],[780,15],[785,13],[790,7],[795,13],[800,12],[805,11],[810,9],[815,6],[820,6],[825,5],[830,11],[835,8],[840,8],[845,11],[850,8],[855,3],[860,11],[865,4],[870,1],[875,8],[880,3],[885,12],[890,6],[895,8],[900,5],[905,8],[910,8],[915,9],[920,6],[925,10],[930,7],[935,8],[940,11],[945,7],[950,3],[955,3],[960,7],[965,10],[970,12],[975,5],[980,8],[985,7],[990,37],[995,475],[1000,145]]",3899820.3194154105,5253
Delaware,Delaware,39.8389431,38.4513344,-75.0499576,-75.7886315,39.361973958518647,-75.534180127968938,1037.2384695254866,27780,13.588487711846041,73.843700159489629,88647,439262,306328,342448,808704,32,1985389,8,496347.25,23772227.146276873,142560810.80631623,89193822.949139372,100977101.04065515,250362085.95924079,9746.6914306640629,606866047.90162945,"[[0,7276],[5,9678],[10,5064],[15,2109],[20,942],[25,518],[30,316],[35,245],[40,167],[45,124],[50,119],[55,95],[60,90],[65,73],[70,51],[75,61],[80,57],[85,40],[90,56],[95,50],[100,40],[105,34],[110,26],[115,29],[120,25],[125,22],[130,18],[135,18],[140,14],[145,17],[150,19],[155,14],[160,13],[165,13],[170,11],[175,13],[180,10],[185,8],[190,10],[195,12],[200,8],[205,1],[210,13],[215,7],[220,6],[225,6],[230,6],[235,5],[240,7],[245,3],[250,7],[255,3],[260,3],[265,11],[270,7],[275,3],[280,4],[285,2],[290,5],[295,5],[300,1],[305,1],[310,4],[315,3],[320,1],[325,3],[330,1],[335,2],[340,3],[345,1],[350,4],[355,2],[360,1],[365,3],[375,1],[380,2],[385,2],[390,1],[400,4],[405,2],[410,4],[420,1],[425,3],[430,1],[440,2],[445,1],[455,1],[470,1],[475,2],[480,1],[485,1],[490,4],[495,1],[500,2],[510,1],[520,1],[525,4],[535,1],[540,3],[545,2],[550,1],[560,3],[575,1],[580,1],[595,1],[600,1],[605,1],[615,1],[625,1],[630,3],[640,3],[655,2],[670,1],[685,1],[705,1],[710,1],[715,1],[720,1],[725,1],[730,1],[750,1],[755,2],[770,1],[790,1],[795,2],[810,1],[830,1],[840,1],[845,1],[865,1],[875,1],[885,1],[930,1],[940,1],[960,1],[990,2],[995,34],[1000,12]]",385639.48206214607,90
District of Columbia,District of Columbia,38.9954398,38.8116522,-76.9097111,-77.1150098,38.914675427833693,-77.011231148704667,1039.55,53440,88.195959738157242,47.3884898465904,73635,444024,227458,284577,2067166,17,3096860,4.25,774215,19808308.650939923,143686911.16356844,66723769.062933162,82810864.577398449,631942894.92807877,5156.4527832031245,944972748.3829186,"[[0,30410],[5,12822],[10,3203],[15,1360],[20,867],[25,668],[30,499],[35,358],[40,316],[45,251],[50,197],[55,198],[60,175],[65,146],[70,125],[75,134],[80,112],[85,101],[90,80],[95,83],[100,69],[105,53],[110,61],[115,54],[120,54],[125,46],[130,32],[135,49],[140,44],[145,30],[150,28],[155,36],[160,40],[165,23],[170,27],[175,26],[180,28],[185,22],[190,24],[195,16],[200,15],[205,15],[210,14],[215,11],[220,18],[225,16],[230,23],[235,15],[240,11],[245,17],[250,15],[255,15],[260,14],[265,11],[270,9],[275,9],[280,8],[285,5],[290,8],[295,13],[300,11],[305,13],[310,10],[315,8],[320,2],[325,4],[330,5],[335,4],[340,7],[345,1],[350,5],[355,7],[360,5],[365,10],[370,5],[375,3],[380,4],[385,10],[390,3],[395,4],[400,1],[405,5],[410,8],[415,4],[420,3],[425,2],[430,1],[440,1],[445,5],[450,5],[455,1],[460,2],[465,6],[470,1],[475,1],[480,2],[485,4],[490,1],[495,1],[500,4],[505,3],[510,1],[515,3],[525,3],[530,3],[535,2],[540,1],[555,4],[560,2],[565,1],[580,1],[585,4],[590,1],[600,2],[605,1],[610,1],[615,1],[630,1],[635,1],[640,2],[650,1],[655,1],[660,1],[670,2],[680,1],[685,2],[690,2],[695,1],[700,1],[715,2],[730,1],[735,2],[740,1],[745,1],[755,1],[760,1],[775,1],[785,1],[795,1],[820,2],[825,1],[835,1],[845,2],[850,1],[865,1],[875,2],[890,1],[895,1],[900,1],[910,3],[920,1],[960,1],[965,1],[975,1],[985,1],[990,4],[995,24],[1000,21]]",600492.97947923176,443
