zipcode,population,medianage,medianincome,pplinownerocc,pctownocc
00601,17912.0,37.6,10816.0,10067.0,0.56
00602,40145.0,39.5,16079.0,31505.0,0.78
00603,50546.0,39.9,16804.0,31134.0,0.62
00606,6307.0,40.8,12512.0,4492.0,0.71
00610,28210.0,40.2,17475.0,21524.0,0.76
00612,64120.0,39.9,17229.0,42908.0,0.67
00616,10653.0,42.8,13705.0,8008.0,0.75
00617,24756.0,37.1,15361.0,19252.0,0.78
00622,7378.0,42.5,15689.0,4142.0,0.56
00623,42865.0,40.9,16593.0,25984.0,0.61
00624,24527.0,35.5,15573.0,18874.0,0.77
00627,33840.0,39.0,17532.0,24608.0,0.73
00631,1664.0,43.8,7854.0,735.0,0.44
00637,24227.0,40.1,14767.0,17465.0,0.72
00638,18068.0,38.7,12722.0,12869.0,0.71
00641,29407.0,39.9,16022.0,19246.0,0.65
00646,38346.0,38.1,26861.0,29761.0,0.78
00647,5721.0,45.0,13764.0,4360.0,0.76
00650,14725.0,37.1,14611.0,10670.0,0.72
00652,3690.0,40.1,17500.0,3229.0,0.88
00653,12448.0,37.4,13593.0,8889.0,0.71
00656,20366.0,38.3,15037.0,15089.0,0.74
00659,41464.0,39.4,18687.0,31371.0,0.76
00660,16683.0,44.0,20598.0,12751.0,0.76
00662,42196.0,39.8,16016.0,26157.0,0.62
00664,15774.0,35.2,15922.0,10469.0,0.66
00667,24914.0,42.1,13222.0,14302.0,0.57
00669,27452.0,39.0,12009.0,15461.0,0.56
00670,9245.0,38.3,14031.0,6038.0,0.65
00674,41857.0,39.3,18135.0,29860.0,0.71
00676,38713.0,37.3,14374.0,27193.0,0.7
00677,14831.0,42.7,16792.0,11537.0,0.78
00678,26777.0,39.1,15347.0,16732.0,0.62
00680,51346.0,39.2,14567.0,30635.0,0.6
00682,32138.0,36.2,15363.0,18622.0,0.58
00683,32028.0,42.0,14913.0,22102.0,0.69
00685,40618.0,41.3,14343.0,25670.0,0.63
00687,32229.0,35.2,16536.0,23020.0,0.71
00688,11870.0,39.3,14213.0,9222.0,0.78
00690,5554.0,38.1,20274.0,4167.0,0.75
00692,35911.0,36.1,17987.0,26380.0,0.73
00693,58267.0,38.7,17156.0,48592.0,0.83
00694,77.0,70.4,11198.0,77.0,1.0
00698,39058.0,40.9,14766.0,31233.0,0.8
00703,27956.0,37.5,14680.0,19184.0,0.69
00705,24692.0,39.8,17238.0,19775.0,0.8
00707,11690.0,41.5,19541.0,8497.0,0.73
00714,18970.0,37.2,15349.0,13973.0,0.74
00715,3524.0,41.3,12027.0,2577.0,0.73
00716,30543.0,39.3,18331.0,19044.0,0.62
00717,17289.0,34.6,11664.0,6924.0,0.4
00718,26495.0,35.8,18614.0,21611.0,0.82
00719,30496.0,37.0,17686.0,22934.0,0.75
00720,22533.0,36.3,14144.0,16461.0,0.73
00723,18441.0,41.7,13284.0,13616.0,0.74
00725,85404.0,38.7,19961.0,54948.0,0.64
00727,56212.0,38.3,29995.0,41890.0,0.75
00728,39193.0,36.8,16949.0,28222.0,0.72
00729,53295.0,37.0,20574.0,41816.0,0.78
00730,34518.0,39.0,15097.0,22024.0,0.64
00731,14351.0,41.0,15141.0,10937.0,0.76
00735,13035.0,40.3,20925.0,10148.0,0.78
00736,50205.0,39.6,20760.0,34622.0,0.69
00738,32918.0,39.4,19708.0,23622.0,0.72
00739,37802.0,37.5,23266.0,28372.0,0.75
00741,5495.0,41.6,21690.0,4426.0,0.81
00745,52715.0,38.5,22577.0,40975.0,0.78
00751,22664.0,37.2,15091.0,18314.0,0.81
00754,39526.0,38.9,16571.0,28121.0,0.71
00757,22901.0,35.5,15674.0,16908.0,0.74
00765,8993.0,42.8,17934.0,7004.0,0.78
00766,24687.0,36.0,17611.0,19465.0,0.79
00767,36245.0,39.7,15666.0,26268.0,0.72
00769,39550.0,37.8,18390.0,29998.0,0.76
00771,38277.0,37.0,18827.0,27629.0,0.72
00772,21439.0,36.2,16734.0,14358.0,0.67
00773,19387.0,39.3,18170.0,13393.0,0.69
00775,1554.0,39.0,18547.0,1141.0,0.73
00777,40365.0,36.1,19229.0,29771.0,0.74
00778,46449.0,36.7,29317.0,38788.0,0.84
00780,12952.0,37.7,22090.0,10526.0,0.81
00782,18515.0,36.3,12757.0,12493.0,0.67
00783,34878.0,36.4,14863.0,26669.0,0.76
00784,40775.0,36.4,16141.0,28476.0,0.7
00786,288.0,64.4,17039.0,288.0,1.0
00791,50276.0,39.5,19175.0,37908.0,0.75
00794,29842.0,34.2,14238.0,21626.0,0.72
00795,46270.0,36.9,18863.0,36569.0,0.79
00901,5070.0,42.1,16870.0,2097.0,0.41
00906,73.0,30.9,34625.0,66.0,0.9
00907,17208.0,47.1,29758.0,9656.0,0.56
00909,5558.0,37.7,15540.0,1984.0,0.36
00911,7339.0,48.5,30877.0,4016.0,0.55
00912,5629.0,40.7,18473.0,3034.0,0.54
00913,8122.0,28.0,6478.0,1059.0,0.13
00915,29236.0,38.3,13332.0,12921.0,0.44
00917,18763.0,43.4,14371.0,9125.0,0.49
00918,16544.0,40.2,22405.0,7534.0,0.46
00920,17966.0,43.7,25000.0,10442.0,0.58
00921,37151.0,36.8,18272.0,17750.0,0.48
00923,26265.0,38.8,14773.0,11300.0,0.43
00924,53617.0,36.8,18543.0,29644.0,0.55
00925,5848.0,32.2,10332.0,1361.0,0.23
00926,103585.0,40.8,32636.0,73554.0,0.71
00927,14327.0,46.8,30507.0,8649.0,0.6
00934,67.0,38.7,65938.0,0.0,0.0
00949,78261.0,37.7,24400.0,59529.0,0.76
00952,9325.0,40.4,17697.0,6156.0,0.66
00953,72772.0,35.9,30278.0,61623.0,0.85
00956,73428.0,38.9,22411.0,52154.0,0.71
00957,43096.0,38.3,23353.0,29451.0,0.68
00959,47767.0,40.1,27478.0,33057.0,0.69
00961,28997.0,41.4,29180.0,20553.0,0.71
00962,20968.0,35.5,16035.0,12199.0,0.58
00965,8391.0,38.5,16333.0,4966.0,0.59
00966,15894.0,42.8,50772.0,12543.0,0.79
00968,3492.0,56.7,46206.0,2731.0,0.78
00969,42749.0,40.6,52970.0,33716.0,0.79
00971,28932.0,41.5,21854.0,20772.0,0.72
00976,61050.0,37.9,29368.0,42114.0,0.69
00979,15196.0,49.1,36592.0,10398.0,0.68
00982,15004.0,42.1,25557.0,9544.0,0.64
00983,39357.0,38.8,26695.0,26546.0,0.67
00985,33449.0,41.4,22995.0,23624.0,0.71
00987,60068.0,36.6,31698.0,45422.0,0.76
01001,16830.0,44.5,60161.0,12917.0,0.77
01002,24653.0,23.4,50540.0,11118.0,0.45
01005,5024.0,43.3,68786.0,4302.0,0.86
01007,14833.0,42.2,76881.0,11912.0,0.8
01008,1171.0,49.3,70417.0,1102.0,0.94
01009,429.0,55.6,40833.0,264.0,0.62
01010,3695.0,45.8,87961.0,3135.0,0.85
01011,1494.0,41.0,68000.0,1291.0,0.86
01012,539.0,51.2,57019.0,478.0,0.89
01013,21738.0,34.9,40774.0,10011.0,0.46
01020,30874.0,43.7,55665.0,21104.0,0.68
01022,2277.0,35.6,51500.0,1585.0,0.7
01026,1036.0,48.7,50625.0,876.0,0.85
01027,17719.0,44.5,58324.0,11564.0,0.65
01028,15565.0,45.5,81655.0,14053.0,0.9
01029,717.0,50.3,44545.0,624.0,0.87
01030,11245.0,44.0,63026.0,9560.0,0.85
01031,1369.0,42.9,39750.0,795.0,0.58
01033,6304.0,44.3,87222.0,5493.0,0.87
01034,2190.0,46.7,81688.0,1929.0,0.88
01035,5156.0,46.0,65625.0,4010.0,0.78
01036,5084.0,49.1,81018.0,4810.0,0.95
01037,559.0,52.4,89118.0,536.0,0.96
01038,2782.0,49.8,66607.0,2227.0,0.8
01039,1232.0,53.8,71167.0,1068.0,0.87
01040,39089.0,35.4,36608.0,16301.0,0.42
01050,2513.0,43.0,62446.0,2190.0,0.87
01053,1345.0,51.3,59948.0,1019.0,0.76
01054,1978.0,49.8,83333.0,1691.0,0.85
01056,20632.0,44.7,63548.0,16256.0,0.79
01057,8665.0,46.0,68156.0,7647.0,0.88
01060,12919.0,34.8,51651.0,6162.0,0.48
01062,10713.0,44.1,67939.0,7899.0,0.74
01068,1795.0,44.7,80313.0,1625.0,0.91
01069,8826.0,43.8,54141.0,7426.0,0.84
01072,1465.0,47.2,69250.0,1272.0,0.87
01073,6022.0,45.9,79858.0,5451.0,0.91
01074,247.0,33.5,58713.0,53.0,0.21
01075,15409.0,40.9,60248.0,12004.0,0.78
01077,9562.0,44.6,80444.0,8360.0,0.87
01080,2286.0,38.4,42946.0,1459.0,0.64
01081,1720.0,44.1,50393.0,1398.0,0.81
01082,10452.0,43.1,49500.0,7997.0,0.77
01083,2960.0,37.0,41600.0,1838.0,0.62
01084,155.0,59.4,49444.0,155.0,1.0
01085,39084.0,38.3,61546.0,27734.0,0.71
01089,28450.0,39.2,54585.0,19158.0,0.67
01092,1286.0,40.7,56111.0,792.0,0.62
01093,307.0,52.3,82125.0,279.0,0.91
01094,336.0,53.8,17708.0,204.0,0.61
01095,14225.0,48.0,90307.0,13050.0,0.92
01096,2489.0,44.7,70980.0,2223.0,0.89
01103,2513.0,32.7,15558.0,160.0,0.06
01104,23244.0,34.3,28858.0,11163.0,0.48
01106,15324.0,46.5,109804.0,14198.0,0.93
01107,11046.0,30.3,22288.0,2770.0,0.25
01108,27211.0,31.5,35119.0,10213.0,0.38
01109,27501.0,26.0,33797.0,12960.0,0.47
01118,14321.0,38.7,59232.0,10655.0,0.74
01119,12376.0,35.4,47702.0,9400.0,0.76
01128,2498.0,47.8,69145.0,2365.0,0.95
01129,7312.0,41.7,60992.0,5769.0,0.79
01151,9026.0,30.4,33419.0,3279.0,0.36
01201,44210.0,43.3,44509.0,28158.0,0.64
01220,8366.0,45.0,46210.0,5992.0,0.72
01222,812.0,48.0,78208.0,752.0,0.93
01223,2294.0,52.9,66012.0,2110.0,0.92
01226,6787.0,47.5,47324.0,5619.0,0.83
01230,7037.0,48.9,56933.0,5220.0,0.74
01235,2866.0,46.9,63182.0,2563.0,0.89
01236,1501.0,42.6,70135.0,1204.0,0.8
01237,2841.0,39.8,73659.0,2590.0,0.91
01238,5763.0,48.6,59921.0,4580.0,0.79
01240,4287.0,57.2,49149.0,3139.0,0.73
01242,389.0,31.4,54120.0,200.0,0.51
01243,374.0,56.6,73750.0,358.0,0.96
01245,915.0,54.0,54297.0,795.0,0.87
01247,14683.0,43.3,40465.0,8956.0,0.61
01253,708.0,50.3,68846.0,690.0,0.97
01254,943.0,58.5,86944.0,848.0,0.9
01255,798.0,52.0,58906.0,728.0,0.91
01256,796.0,45.3,53036.0,716.0,0.9
01257,2192.0,50.9,47167.0,1895.0,0.86
01258,334.0,62.8,66198.0,326.0,0.98
01259,563.0,54.2,63750.0,500.0,0.89
01260,485.0,44.4,74844.0,225.0,0.46
01262,1047.0,53.3,41400.0,672.0,0.64
01264,123.0,65.9,76250.0,101.0,0.82
